Output entailing various statistics of columns in both STARD and CANBIND overlapping matrices to compare and find bugs,
,CANBIND,STARD,
:::imput_anyanxiety,
Mean, 0.5, 0.1515631183221211,
Median, 0.5, 0.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 1.0, 1.0,
AGE:::interview_age,
Mean, 35.44444444444444, 40.87913851523552,
Median, 32.0, 40.535446,
Mode, 21.0, 26.557706,
Min, 18, 17.842174,
Max, 61, 74.41091,
EDUC:::dm01_enroll__educat,
Mean, 13.744444444444444, 13.74396517609814,
Median, 14.0, 14.0,
Mode, 12.0, 12.0,
Min, 8, 0.0,
Max, 20, 26.0,
EMPLOY_STATUS_1.0:::dm01_enroll__empl||3.0,
Mean, 0.6777777777777778, 0.5835312747426762,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_2.0:::dm01_enroll__empl||1.0,
Mean, 0.08888888888888889, 0.45389790265136526,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_5.0:::dm01_enroll__empl||2.0,
Mean, 0.1388888888888889, 0.12425801345468936,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
EMPLOY_STATUS_7.0:::dm01_enroll__empl||6.0,
Mean, 0.011111111111111112, 0.043134151167392165,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
HSHLD_INCOME:::dm01_w0__totincom,
Mean, 3.7555555555555555, 2.84804115552038,
Median, 4.0, 3.0,
Mode, 4.0, 1.0,
Min, 1, 1.0,
Max, 8, 8.0,
LAM_2_baseline:::wpai01__wpai_totalhrs,
Mean, 31.48611111111111, 39.46022952117135,
Median, 20.0, 30.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 150.0, 180.0,
LAM_3_baseline:::wpai01__wpai02,
Mean, 5.5152777777777775, 7.49980213692125,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0.0, 0.0,
Max, 80.0, 160.0,
MINI_AGRPHOBIA_TIME:::phx01__pd_ag,
Mean, 0.11666666666666667, 0.018599129402453504,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_ALCHL_ABUSE_TIME:::phx01__alcoh||1.0,
Mean, 0.03333333333333333, 0.05263157894736842,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_AN_BINGE_TIME:::phx01__anorexia,
Mean, 0.0, 0.0003957261574990107,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 0, 1.0,
MINI_APD_TIME:::phx01__pd_antis,
Mean, 0.011111111111111112, 0.0019786307874950534,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_BN_TIME:::phx01__bulimia||2/5,
Mean, 0.05, 0.0,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 0.0,
MINI_GAD_TIME:::phx01__gad_phx,
Mean, 0.23333333333333334, 0.06133755441234666,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_OCD_TIME:::phx01__ocd_phx,
Mean, 0.044444444444444446, 0.006331618519984171,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_PD_DX:::phx01__pd_noag,
Mean, 0.16111111111111112, 0.02334784329244163,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_PTSD_TIME:::phx01__psd,
Mean, 0.07777777777777778, 0.04590423426988524,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_SBSTNC_ABUSE_NONALCHL_TIME:::phx01__amphet||1.0,
Mean, 0.022222222222222223, 0.026909378709932725,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MINI_SOCL_PHOBIA_DX:::phx01__soc_phob,
Mean, 0.2388888888888889, 0.033636723387415905,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Divorced:::dm01_enroll__marital||5.0,
Mean, 0.07222222222222222, 0.19390581717451524,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Domestic Partnership:::dm01_enroll__marital||2.0,
Mean, 0.08333333333333333, 0.08033240997229917,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Married:::dm01_enroll__marital||3.0,
Mean, 0.19444444444444445, 0.33913731697665217,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Never Married:::dm01_enroll__marital||1.0,
Mean, 0.5722222222222222, 0.29362880886426596,
Median, 1.0, 0.0,
Mode, 1.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Separated:::dm01_enroll__marital||4.0,
Mean, 0.06111111111111111, 0.0629204590423427,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
MRTL_STATUS_Widowed:::dm01_enroll__marital||6.0,
Mean, 0.016666666666666666, 0.03007518796992481,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
PSYHIS_FH:::phx01__dep,
Mean, 0.7666666666666667, 0.7261574990106846,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 1, 1.0,
PSYHIS_MDD_AGE:::phx01__dage,
Mean, 20.755555555555556, 25.06410763751484,
Median, 18.0, 21.0,
Mode, 18.0, 20.0,
Min, 5, -5.0,
Max, 55, 73.0,
PSYHIS_MDD_PREV:::,
Mean, 0.8666666666666667, 0.6493866244558766,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 1, 1.0,
PSYHIS_MDE_EP_DUR_MO:::phx01__episode_date,
Mean, 26.205555555555556, 24.673165215670725,
Median, 11.0, 7.792200000000001,
Mode, 5.0, 0.0666,
Min, 1, 0.0333,
Max, 151, 679.32,
PSYHIS_MDE_NUM:::phx01__epino,
Mean, 3.6055555555555556, 4.216462208151959,
Median, 3.0, 2.0,
Mode, 3.0, 1.0,
Min, 1, -9.0,
Max, 10, 99.0,
QIDS_ATYPICAL_baseline:::,
Mean, 3.188888888888889, 5.830233478432924,
Median, 3.0, 6.0,
Mode, 3.0, 6.0,
Min, 0, 0.0,
Max, 10, 12.0,
QIDS_ATYPICAL_week2:::,
Mean, 2.111111111111111, 3.880794701986755,
Median, 2.0, 4.0,
Mode, 2.0, 4.0,
Min, 0, 0.0,
Max, 7, 12.0,
QIDS_OVERL_SEVTY_baseline:::qids01_w0sr__qstot,
Mean, 15.977777777777778, 16.30787495053423,
Median, 16.0, 16.0,
Mode, 15.0, 17.0,
Min, 3, 3.0,
Max, 26, 27.0,
QIDS_OVERL_SEVTY_week2:::qids01_w2sr__qstot,
Mean, 12.155555555555555, 11.192200557103064,
Median, 12.0, 11.0,
Mode, 14.0, 12.0,
Min, 1, 0.0,
Max, 25, 25.0,
QIDS_SR_10_baseline:::qids01_w0sr__vcntr,
Mean, 1.8, 1.6137712702809657,
Median, 2.0, 2.0,
Mode, 2.0, 2.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_10_week2:::qids01_w2sr__vcntr,
Mean, 1.461111111111111, 1.192200557103064,
Median, 2.0, 1.0,
Mode, 2.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_11_baseline:::qids01_w0sr__vvwsf,
Mean, 1.9277777777777778, 1.6703601108033241,
Median, 2.0, 1.0,
Mode, 3.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_11_week2:::qids01_w2sr__vvwsf,
Mean, 1.488888888888889, 1.1610978520286397,
Median, 1.0, 1.0,
Mode, 3.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_12_baseline:::qids01_w0sr__vsuic,
Mean, 0.8611111111111112, 0.6917293233082706,
Median, 1.0, 1.0,
Mode, 1.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_12_week2:::qids01_w2sr__vsuic,
Mean, 0.5222222222222223, 0.390612569610183,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_13_baseline:::qids01_w0sr__vintr,
Mean, 1.8277777777777777, 1.7890779580530274,
Median, 2.0, 2.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_13_week2:::qids01_w2sr__vintr,
Mean, 1.3277777777777777, 1.2581543357199683,
Median, 1.0, 1.0,
Mode, 2.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_14_baseline:::qids01_w0sr__vengy,
Mean, 1.8722222222222222, 1.7534626038781163,
Median, 2.0, 2.0,
Mode, 2.0, 2.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_14_week2:::qids01_w2sr__vengy,
Mean, 1.3333333333333333, 1.2326968973747017,
Median, 1.0, 1.0,
Mode, 2.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_15_baseline:::qids01_w0sr__vslow,
Mean, 1.1611111111111112, 1.0724178868223189,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_15_week2:::qids01_w2sr__vslow,
Mean, 0.7277777777777777, 0.7175815433571997,
Median, 1.0, 1.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_16_baseline:::qids01_w0sr__vagit,
Mean, 0.9166666666666666, 1.1001187178472498,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_16_week2:::qids01_w2sr__vagit,
Mean, 0.8, 0.860381861575179,
Median, 1.0, 1.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_1_baseline:::qids01_w0sr__vsoin,
Mean, 1.8222222222222222, 1.7170557973882075,
Median, 2.0, 2.0,
Mode, 3.0, 3.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_1_week2:::qids01_w2sr__vsoin,
Mean, 1.488888888888889, 1.334128878281623,
Median, 2.0, 1.0,
Mode, 2.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_2_baseline:::qids01_w0sr__vmnin,
Mean, 1.8333333333333333, 2.048278591214879,
Median, 2.0, 2.0,
Mode, 3.0, 3.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_2_week2:::qids01_w2sr__vmnin,
Mean, 1.6666666666666667, 1.8524264120922833,
Median, 2.0, 2.0,
Mode, 2.0, 3.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_3_baseline:::qids01_w0sr__vemin,
Mean, 1.1666666666666667, 1.299168975069252,
Median, 1.0, 1.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_3_week2:::qids01_w2sr__vemin,
Mean, 0.9722222222222222, 1.0576770087509944,
Median, 1.0, 1.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_4_baseline:::qids01_w0sr__vhysm,
Mean, 0.8611111111111112, 0.5136525524337159,
Median, 1.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_4_week2:::qids01_w2sr__vhysm,
Mean, 0.7222222222222222, 0.4713603818615752,
Median, 0.5, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_5_baseline:::qids01_w0sr__vmdsd,
Mean, 2.15, 2.1448357736446377,
Median, 2.0, 2.0,
Mode, 2.0, 2.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_5_week2:::qids01_w2sr__vmdsd,
Mean, 1.5333333333333334, 1.4037390612569611,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_6_baseline:::qids01_w0sr__vapdc,
Mean, 0.7944444444444444, 1.0051444400474872,
Median, 1.0, 1.0,
Mode, 0.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_6_week2:::qids01_w2sr__vapdc,
Mean, 0.6611111111111111, 0.778537611783272,
Median, 0.0, 1.0,
Mode, 0.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_7_baseline:::qids01_w0sr__vapin,
Mean, 0.5777777777777777, 1.1792639493470518,
Median, 0.0, 1.0,
Mode, 0.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_7_week2:::qids01_w2sr__vapin,
Mean, 0.4166666666666667, 1.037520391517129,
Median, 0.0, 1.0,
Mode, 0.0, 1.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_8_baseline:::qids01_w0sr__vwtdc,
Mean, 0.39444444444444443, 0.7095370003957262,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_8_week2:::qids01_w2sr__vwtdc,
Mean, 0.28888888888888886, 0.6606574761399788,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_9_baseline:::qids01_w0sr__vwtin,
Mean, 0.5888888888888889, 2.3838543727740404,
Median, 0.0, 3.0,
Mode, 0.0, 3.0,
Min, 0, 0.0,
Max, 3, 3.0,
QIDS_SR_9_week2:::qids01_w2sr__vwtin,
Mean, 0.24444444444444444, 0.9808917197452229,
Median, 0.0, 1.0,
Mode, 0.0, 1.0,
Min, 0, 0.0,
Max, 2, 3.0,
QLESQA_TOT_QLESQB_TOT_merged:::,
Mean, 33.71333333333333, 37.51404827859122,
Median, 35.0, 38.0,
Mode, 37.0, 38.0,
Min, 15.0, 14.0,
Max, 59.2, 67.0,
QLESQ_1A_10_baseline_QLESQ_1B_10_baseline_merged:::qlesq01__qlesq10,
Mean, 2.272222222222222, 2.265532251681836,
Median, 2.0, 2.0,
Mode, 1.0, 1.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_11_baseline_QLESQ_1B_11_baseline_merged:::qlesq01__qlesq11,
Mean, 2.988888888888889, 2.9481598733676297,
Median, 3.0, 3.0,
Mode, 3.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_12_baseline_QLESQ_1B_12_baseline_merged:::qlesq01__qlesq12,
Mean, 3.5944444444444446, 3.767708745548081,
Median, 4.0, 4.0,
Mode, 4.0, 4.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_13_baseline_QLESQ_1B_13_baseline_merged:::qlesq01__qlesq13,
Mean, 2.9555555555555557, 3.878907795805303,
Median, 3.0, 4.0,
Mode, 3.0, 4.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_14_baseline_QLESQ_1B_14_baseline_merged:::qlesq01__qlesq14,
Mean, 2.1055555555555556, 2.409972299168975,
Median, 2.0, 2.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 4, 5.0,
QLESQ_1A_16_baseline_QLESQ_1B_16_baseline_merged:::qlesq01__qlesq16,
Mean, 2.033333333333333, 2.3818757419865455,
Median, 2.0, 2.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 4, 5.0,
QLESQ_1A_1_baseline_QLESQ_1B_1_baseline_merged:::qlesq01__qlesq01,
Mean, 2.5055555555555555, 2.790660862683023,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_2_baseline_QLESQ_1B_2_baseline_merged:::qlesq01__qlesq02,
Mean, 1.9, 2.0447170557973884,
Median, 2.0, 2.0,
Mode, 2.0, 2.0,
Min, 1, 1.0,
Max, 4, 5.0,
QLESQ_1A_3_baseline_QLESQ_1B_3_baseline_merged:::qlesq01__qlesq03,
Mean, 2.0944444444444446, 2.581717451523546,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_4_baseline_QLESQ_1B_4_baseline_merged:::qlesq01__qlesq04,
Mean, 2.15, 2.492283339928769,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 5, 6.0,
QLESQ_1A_5_baseline_QLESQ_1B_5_baseline_merged:::qlesq01__qlesq05,
Mean, 2.1166666666666667, 2.4337158686189158,
Median, 2.0, 2.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_6_baseline_QLESQ_1B_6_baseline_merged:::qlesq01__qlesq06,
Mean, 2.477777777777778, 2.7309062129006727,
Median, 3.0, 3.0,
Mode, 3.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_7_baseline_QLESQ_1B_7_baseline_merged:::qlesq01__qlesq07,
Mean, 2.0944444444444446, 2.5413533834586466,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 4, 5.0,
QLESQ_1A_8_baseline_QLESQ_1B_8_baseline_merged:::qlesq01__qlesq08,
Mean, 2.261111111111111, 2.4602295211713496,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 1, 1.0,
Max, 5, 5.0,
QLESQ_1A_9_baseline_QLESQ_1B_9_baseline_merged:::qlesq01__qlesq09,
Mean, 2.1777777777777776, 2.1681836169370796,
Median, 2.0, 2.0,
Mode, 1.0, 1.0,
Min, 1, 1.0,
Max, 5, 5.0,
SDS_1_1_baseline:::wsas01__wsas01,
Mean, 5.344444444444444, 5.301741195092996,
Median, 6.0, 5.0,
Mode, 0.0, 5.0,
Min, 0, 0.0,
Max, 10, 10.0,
SDS_2_1_baseline:::wsas01__wsas03,
Mean, 6.416666666666667, 6.618519984170954,
Median, 7.0, 7.5,
Mode, 7.0, 10.0,
Min, 0, 0.0,
Max, 10, 10.0,
SDS_3_1_baseline:::wsas01__wsas02,
Mean, 6.1, 5.7543529877324895,
Median, 6.0, 6.25,
Mode, 8.0, 7.5,
Min, 0, 0.0,
Max, 10, 10.0,
SEX_female:::gender||F,
Mean, 0.6222222222222222, 0.6153541749109616,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0, 0.0,
Max, 1, 1.0,
SEX_male:::gender||M,
Mean, 0.37777777777777777, 0.3846458250890384,
Median, 0.0, 0.0,
Mode, 0.0, 0.0,
Min, 0, 0.0,
Max, 1, 1.0,
Unnamed: 0,
Mean, 89.5, 1263.0,
Median, 89.5, 1263.0,
Mode, 0, 0,
Min, 0, 0,
Max, 179, 2526,
imput_QIDS_SR_appetite_domain_week0:::,
Mean, 1.5611111111111111, 2.581717451523546,
Median, 2.0, 3.0,
Mode, 2.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_appetite_domain_week2:::,
Mean, 1.1666666666666667, 1.105807478122514,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_insomnia_week0:::,
Mean, 2.3555555555555556, 2.482390185991294,
Median, 3.0, 3.0,
Mode, 3.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_insomnia_week2:::,
Mean, 2.1222222222222222, 2.221559268098648,
Median, 2.0, 2.0,
Mode, 3.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_overeating_week0:::,
Mean, 0.85, 2.555599525128611,
Median, 0.0, 3.0,
Mode, 0.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_overeating_week2:::,
Mean, 0.5388888888888889, 1.1890862944162437,
Median, 0.0, 1.0,
Mode, 0.0, 1.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_perc_change:::,
Mean, -0.2295499999999999, -0.3120855551134105,
Median, -0.214, -0.308,
Mode, 0.0, 0.0,
Min, -0.9470000000000001, -1.0,
Max, 0.727, 0.75,
imput_QIDS_SR_psychomot_domain_week0:::,
Mean, 1.4833333333333334, 1.5124653739612188,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_psychomot_domain_week2:::,
Mean, 1.1333333333333333, 1.1607000795544948,
Median, 1.0, 1.0,
Mode, 1.0, 1.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_sleep_domain_week0:::,
Mean, 2.4944444444444445, 2.550455085081124,
Median, 3.0, 3.0,
Mode, 3.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
imput_QIDS_SR_sleep_domain_week2:::,
Mean, 2.2, 2.286793953858393,
Median, 2.0, 2.0,
Mode, 3.0, 3.0,
Min, 0.0, 0.0,
Max, 3.0, 3.0,
